sample	query	model	description	bitscore	evalue
GCF_001611795.1	A4E84_RS40475	PF13280.6	WYL domain	113.8	2.9e-35
GCF_001611795.1	A4E84_RS11310	PF13280.6	WYL domain	146.0	3.9e-45
GCF_001611795.1	A4E84_RS16835	PF13280.6	WYL domain	95.8	1e-29
GCF_001611795.1	A4E84_RS39210	PF13280.6	WYL domain	78.3	2.4e-24
GCF_001611795.1	A4E84_RS32905	PF13280.6	WYL domain	80.5	4.8e-25
GCF_001611795.1	A4E84_RS33640	PF13280.6	WYL domain	129.3	4.9e-40
GCF_001611795.1	A4E84_RS38855	PF13280.6	WYL domain	100.6	3.3e-31
GCF_001611795.1	A4E84_RS23240	PF13280.6	WYL domain	87.0	5e-27
GCF_001611795.1	A4E84_RS08155	PF13280.6	WYL domain	112.1	9.9e-35
GCF_001611905.1	AP285_RS15660	PF09651.10	CRISPR-associated protein (Cas_APE2256)	114.4	1.2e-35
GCF_001611905.1	AP285_RS15645	PF09827.9	CRISPR associated protein Cas2	73.8	3.2e-23
GCF_001611905.1	AP285_RS15770	PF09455.10	CRISPR-associated (Cas) DxTHG family	287.0	1e-87
GCF_001611905.1	AP285_RS12655	PF09700.10	CRISPR-associated protein (Cas_Cmr3)	100.7	3.9e-31
GCF_001611905.1	AP285_RS12645	PF03787.15	RAMP superfamily	60.6	7.1e-19
GCF_001611905.1	AP285_RS12590	PF09827.9	CRISPR associated protein Cas2	83.8	2.3e-26
GCF_001611905.1	AP285_RS12585	PF01867.16	CRISPR associated protein Cas1	68.0	2.5e-21
GCF_001611905.1	AP285_RS15795	PF03750.13	Csm2 Type III-A	121.7	8.7e-38
GCF_001611905.1	AP285_RS15800	PF18211.1	Csm1 subunit domain B	109.6	1.7e-34
GCF_001611905.1	AP285_RS21865	PF09620.10	CRISPR-associated protein (Cas_csx3)	120.3	7.7e-38
GCF_001611905.1	AP285_RS22600	PF09700.10	CRISPR-associated protein (Cas_Cmr3)	102.3	1.2e-31
GCF_001611905.1	AP285_RS22605	PF12469.8	CRISPR-associated protein	116.2	2.6e-36
GCF_001611905.1	AP285_RS15650	PF01867.16	CRISPR associated protein Cas1	277.7	3.1e-85
GCF_001611905.1	AP285_RS19125	PF10040.9	CRISPR-associated endoribonuclease Cas6	64.3	4.1e-20
GCF_001611905.1	AP285_RS15785	PF17953.1	CRISPR Csm4 C-terminal domain	88.4	7.3e-28
GCF_001611905.1	AP285_RS15655	PF09651.10	CRISPR-associated protein (Cas_APE2256)	125.1	5.8e-39
GCF_001611905.1	AP285_RS15675	PF03787.15	RAMP superfamily	114.2	2.8e-35
GCF_001611905.1	AP285_RS15665	PF03787.15	RAMP superfamily	90.2	6.4e-28
GCF_001611905.1	AP285_RS15680	PF03787.15	RAMP superfamily	61.9	2.9e-19
GCF_001611975.1	AY555_RS10785	PF01867.16	CRISPR associated protein Cas1	109.8	4.3e-34
GCF_001612475.1	ARC77_RS10015	PF09485.10	CRISPR-associated protein Cse2 (CRISPR_cse2)	72.8	1.3e-22
GCF_001612475.1	ARC77_RS09990	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	125.3	2.4e-39
GCF_001612475.1	ARC77_RS10000	PF08798.11	CRISPR associated protein	173.0	3.5e-53
GCF_001612475.1	ARC77_RS10005	PF09704.10	CRISPR-associated protein (Cas_Cas5)	113.8	3.4e-35
GCF_001612475.1	ARC77_RS10010	PF09344.10	CT1975-like protein	339.4	1.1e-103
GCF_001612475.1	ARC77_RS10020	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	324.0	6e-99
GCF_001617625.1	A3224_RS03155	PF09344.10	CT1975-like protein	350.1	6.2e-107
GCF_001617625.1	A3224_RS14610	PF10040.9	CRISPR-associated endoribonuclease Cas6	60.8	5e-19
GCF_001617625.1	A3224_RS03160	PF09704.10	CRISPR-associated protein (Cas_Cas5)	153.4	2.6e-47
GCF_001617625.1	A3224_RS03165	PF08798.11	CRISPR associated protein	172.9	3.6e-53
GCF_001617625.1	A3224_RS03145	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	272.7	2.2e-83
GCF_001617625.1	A3224_RS14635	PF18211.1	Csm1 subunit domain B	67.5	2.3e-21
GCF_001617625.1	A3224_RS14630	PF03750.13	Csm2 Type III-A	61.6	4e-19
GCF_001617625.1	A3224_RS03170	PF01867.16	CRISPR associated protein Cas1	61.9	1.8e-19
GCF_001617625.1	A3224_RS03175	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	126.3	1.2e-39
GCF_001617625.1	A3224_RS14590	PF09827.9	CRISPR associated protein Cas2	66.6	5.7e-21
GCF_001617625.1	A3224_RS14580	PF01867.16	CRISPR associated protein Cas1	236.6	9.7e-73
GCF_001617625.1	A3224_RS14640	PF09623.10	CRISPR-associated protein NE0113 (Cas_NE0113)	176.8	1.5e-54
GCF_001617625.1	A3224_RS03150	PF09485.10	CRISPR-associated protein Cse2 (CRISPR_cse2)	78.3	2.7e-24
GCF_001617645.1	A0R60_RS12385	PF13280.6	WYL domain	84.0	4.2e-26
GCF_001617645.1	A0R60_RS10455	PF13280.6	WYL domain	68.2	3e-21
GCF_001618485.1	LBHB_RS13445	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	305.9	2e-93
GCF_001618485.1	LBHB_RS14220	PF13280.6	WYL domain	82.7	1e-25
GCF_001618485.1	LBHB_RS13485	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	93.0	3.1e-29
GCF_001618485.1	LBHB_RS13480	PF01867.16	CRISPR associated protein Cas1	63.0	7.9e-20
GCF_001618485.1	LBHB_RS13465	PF08798.11	CRISPR associated protein	132.3	9.1e-41
GCF_001618485.1	LBHB_RS13460	PF09704.10	CRISPR-associated protein (Cas_Cas5)	130.3	3.2e-40
GCF_001618485.1	LBHB_RS13455	PF09344.10	CT1975-like protein	330.4	6.2e-101
GCF_001618525.1	LBK6_RS03475	PF01867.16	CRISPR associated protein Cas1	63.0	7.9e-20
GCF_001618525.1	LBK6_RS03510	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	305.1	3.2e-93
GCF_001618525.1	LBK6_RS03500	PF09344.10	CT1975-like protein	330.4	6.2e-101
GCF_001618525.1	LBK6_RS03495	PF09704.10	CRISPR-associated protein (Cas_Cas5)	130.3	3.2e-40
GCF_001618525.1	LBK6_RS03490	PF08798.11	CRISPR associated protein	130.9	2.5e-40
GCF_001618525.1	LBK6_RS02730	PF13280.6	WYL domain	82.7	1e-25
GCF_001618525.1	LBK6_RS03470	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	93.0	3.1e-29
GCF_001618545.2	A2T59_RS01665	PF13280.6	WYL domain	112.7	6.3e-35
GCF_001618545.2	A2T59_RS17345	PF13280.6	WYL domain	85.5	1.5e-26
GCF_001618545.2	A2T59_RS16910	PF13280.6	WYL domain	101.7	1.5e-31
GCF_001618545.2	A2T59_RS16870	PF13280.6	WYL domain	104.2	2.7e-32
GCF_001618685.1	GS3922_RS14075	PF05107.12	CRISPR-associated protein Cas7	210.4	1.1e-64
GCF_001618685.1	GS3922_RS14080	PF09484.10	CRISPR-associated protein TM1802 (cas_TM1802)	514.1	2.1e-156
GCF_001618685.1	GS3922_RS14110	PF09701.10	CRISPR-associated protein (Cas_Cmr5)	114.6	1.1e-35
GCF_001618685.1	GS3922_RS14035	PF01881.16	CRISPR associated protein Cas6	128.4	1.1e-39
GCF_001618685.1	GS3922_RS14115	PF03787.15	RAMP superfamily	84.5	3.6e-26
GCF_001618685.1	GS3922_RS14120	PF09700.10	CRISPR-associated protein (Cas_Cmr3)	164.0	2.2e-50
GCF_001618685.1	GS3922_RS14060	PF01930.17	Domain of unknown function DUF83	182.5	2.1e-56
GCF_001618685.1	GS3922_RS14125	PF12469.8	CRISPR-associated protein	70.7	3.6e-22
GCF_001618685.1	GS3922_RS14045	PF09827.9	CRISPR associated protein Cas2	78.7	9.4e-25
GCF_001618685.1	GS3922_RS14135	PF09455.10	CRISPR-associated (Cas) DxTHG family	248.5	4.9e-76
GCF_001618825.1	A4R28_RS19760	PF13280.6	WYL domain	67.3	5.6e-21
GCF_001618845.1	A4R29_RS26555	PF13280.6	WYL domain	67.3	5.6e-21
GCF_001618885.1	A4G25_RS08595	PF13280.6	WYL domain	78.6	1.9e-24
GCF_001620265.1	AKL17_RS23200	PF09704.10	CRISPR-associated protein (Cas_Cas5)	124.3	2.1e-38
GCF_001620265.1	AKL17_RS00520	PF09704.10	CRISPR-associated protein (Cas_Cas5)	134.1	2.2e-41
GCF_001620265.1	AKL17_RS00495	PF09827.9	CRISPR associated protein Cas2	84.0	2.1e-26
GCF_001620265.1	AKL17_RS00500	PF01867.16	CRISPR associated protein Cas1	333.1	3.8e-102
GCF_001620265.1	AKL17_RS18445	PF01867.16	CRISPR associated protein Cas1	106.7	3.9e-33
GCF_001620265.1	AKL17_RS23185	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	224.3	1.1e-68
GCF_001620265.1	AKL17_RS23195	PF09344.10	CT1975-like protein	323.4	8.1e-99
GCF_001620265.1	AKL17_RS00510	PF05107.12	CRISPR-associated protein Cas7	370.0	2e-113
GCF_001620265.1	AKL17_RS23205	PF08798.11	CRISPR associated protein	133.3	4.7e-41
GCF_001620265.1	AKL17_RS23215	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	123.2	1.2e-38
GCF_001620265.1	AKL17_RS00515	PF09709.10	CRISPR-associated protein (Cas_Csd1)	545.5	5.1e-166
GCF_001620305.1	A3L23_RS21000	PF13280.6	WYL domain	107.9	1.9e-33
GCF_001620305.1	A3L23_RS20995	PF13280.6	WYL domain	114.9	1.4e-35
GCF_001620305.1	A3L23_RS08435	PF13280.6	WYL domain	96.7	5.1e-30
GCF_001620305.1	A3L23_RS02665	PF13280.6	WYL domain	100.2	4.5e-31
GCF_001620335.1	A4R40_RS09290	PF09618.10	CRISPR-associated protein (Cas_Csy4)	220.0	8.5e-68
GCF_001620335.1	A4R40_RS03845	PF09485.10	CRISPR-associated protein Cse2 (CRISPR_cse2)	73.8	6.4e-23
GCF_001620335.1	A4R40_RS09285	PF09615.10	CRISPR-associated protein (Cas_Csy3)	496.0	1.8e-151
GCF_001620335.1	A4R40_RS03850	PF09344.10	CT1975-like protein	344.9	2.4e-105
GCF_001620335.1	A4R40_RS03840	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	334.0	5.6e-102
GCF_001620335.1	A4R40_RS03855	PF09704.10	CRISPR-associated protein (Cas_Cas5)	190.4	1.2e-58
GCF_001620335.1	A4R40_RS03860	PF08798.11	CRISPR associated protein	178.7	6.4e-55
GCF_001620335.1	A4R40_RS09280	PF09614.10	CRISPR-associated protein (Cas_Csy2)	365.5	6.8e-112
GCF_001620335.1	A4R40_RS09275	PF09611.10	CRISPR-associated protein (Cas_Csy1)	441.3	9.7e-135
GCF_001628715.1	WG31_RS04630	PF09827.9	CRISPR associated protein Cas2	83.1	4.1e-26
GCF_001628715.1	WG31_RS04620	PF01930.17	Domain of unknown function DUF83	119.2	5.9e-37
GCF_001628715.1	WG31_RS04625	PF01867.16	CRISPR associated protein Cas1	351.3	1.1e-107
GCF_001628715.1	WG31_RS04615	PF05107.12	CRISPR-associated protein Cas7	349.1	5.1e-107
GCF_001628715.1	WG31_RS04610	PF09709.10	CRISPR-associated protein (Cas_Csd1)	510.3	2.4e-155
GCF_001628715.1	WG31_RS04605	PF09704.10	CRISPR-associated protein (Cas_Cas5)	146.9	2.6e-45
GCF_001628775.1	VZ52_RS05175	PF13280.6	WYL domain	65.9	1.5e-20
GCF_001628815.1	A2G06_RS09905	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	125.6	2e-39
GCF_001628815.1	A2G06_RS09915	PF08798.11	CRISPR associated protein	169.3	4.5e-52
GCF_001628815.1	A2G06_RS01125	PF13280.6	WYL domain	125.3	8.4e-39
GCF_001628815.1	A2G06_RS09925	PF09344.10	CT1975-like protein	334.1	4.5e-102
GCF_001628815.1	A2G06_RS09920	PF09704.10	CRISPR-associated protein (Cas_Cas5)	143.4	3.1e-44
GCF_001629705.1	ABE65_RS11390	PF13280.6	WYL domain	98.2	1.8e-30
GCF_001629705.1	ABE65_RS12465	PF13280.6	WYL domain	127.8	1.4e-39
GCF_001629735.1	A2J09_RS15175	PF13280.6	WYL domain	109.5	6.2e-34
GCF_001629735.1	A2J09_RS07045	PF13280.6	WYL domain	99.9	5.3e-31
GCF_001629735.1	A2J09_RS08620	PF13280.6	WYL domain	88.8	1.5e-27
GCF_001629735.1	A2J09_RS08195	PF13280.6	WYL domain	82.7	1.1e-25
GCF_001632305.1	A3958_RS04775	PF13280.6	WYL domain	92.7	8.9e-29
GCF_001632305.1	A3958_RS22315	PF13280.6	WYL domain	134.8	1e-41
GCF_001632305.1	A3958_RS14775	PF13280.6	WYL domain	92.3	1.2e-28
GCF_001632305.1	A3958_RS10730	PF13280.6	WYL domain	121.8	1e-37
GCF_001632305.1	A3958_RS13715	PF13280.6	WYL domain	131.6	9.8e-41
GCF_001632305.1	A3958_RS06085	PF13280.6	WYL domain	129.5	4.4e-40
GCF_001632305.1	A3958_RS01730	PF13280.6	WYL domain	89.7	7.5e-28
GCF_001632305.1	A3958_RS02055	PF13280.6	WYL domain	102.2	1.1e-31
GCF_001632305.1	A3958_RS15045	PF13280.6	WYL domain	124.3	1.7e-38
GCF_001632775.1	I596_RS11605	PF09709.10	CRISPR-associated protein (Cas_Csd1)	448.1	1.6e-136
GCF_001632775.1	I596_RS11610	PF09704.10	CRISPR-associated protein (Cas_Cas5)	165.9	4e-51
GCF_001632775.1	I596_RS11955	PF13280.6	WYL domain	113.9	2.8e-35
GCF_001632775.1	I596_RS11600	PF05107.12	CRISPR-associated protein Cas7	252.6	1.4e-77
GCF_001632775.1	I596_RS11595	PF01930.17	Domain of unknown function DUF83	116.7	3.6e-36
GCF_001632775.1	I596_RS11590	PF01867.16	CRISPR associated protein Cas1	338.3	9.9e-104
GCF_001632775.1	I596_RS11585	PF09827.9	CRISPR associated protein Cas2	83.2	3.7e-26
GCF_001632775.1	I596_RS08165	PF09618.10	CRISPR-associated protein (Cas_Csy4)	203.6	9.1e-63
GCF_001632775.1	I596_RS08160	PF09615.10	CRISPR-associated protein (Cas_Csy3)	493.3	1.2e-150
GCF_001632775.1	I596_RS08155	PF09614.10	CRISPR-associated protein (Cas_Csy2)	345.9	6.5e-106
GCF_001632775.1	I596_RS08150	PF09611.10	CRISPR-associated protein (Cas_Csy1)	324.7	2.7e-99
GCF_001632775.1	I596_RS01310	PF13280.6	WYL domain	136.8	2.6e-42
GCF_001632805.1	BB28_RS10725	PF13280.6	WYL domain	106.5	5.2e-33
GCF_001632805.1	BB28_RS10730	PF13280.6	WYL domain	113.3	4.3e-35
GCF_001632865.1	SAM40697_RS10550	PF13280.6	WYL domain	141.1	1.2e-43
GCF_001632865.1	SAM40697_RS08255	PF13280.6	WYL domain	106.8	4e-33
GCF_001632865.1	SAM40697_RS15105	PF13280.6	WYL domain	99.4	8e-31
GCF_001632865.1	SAM40697_RS07680	PF13280.6	WYL domain	111.1	1.9e-34
GCF_001632865.1	SAM40697_RS32750	PF13280.6	WYL domain	107.7	2.3e-33
GCF_001632865.1	SAM40697_RS02910	PF13280.6	WYL domain	91.8	1.7e-28
GCF_001632865.1	SAM40697_RS07675	PF13280.6	WYL domain	109.2	7.6e-34
GCF_001633145.1	A6024_RS11495	PF09344.10	CT1975-like protein	328.0	3.2e-100
GCF_001633145.1	A6024_RS11515	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	120.7	6.6e-38
GCF_001633145.1	A6024_RS11505	PF08798.11	CRISPR associated protein	135.5	1e-41
GCF_001633145.1	A6024_RS11485	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	229.0	4.1e-70
GCF_001633145.1	A6024_RS11500	PF09704.10	CRISPR-associated protein (Cas_Cas5)	122.3	8.3e-38
GCF_001633165.1	A6W98_RS11650	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	120.7	6.6e-38
GCF_001633165.1	A6W98_RS11640	PF08798.11	CRISPR associated protein	135.5	1e-41
GCF_001633165.1	A6W98_RS11635	PF09704.10	CRISPR-associated protein (Cas_Cas5)	122.3	8.3e-38
GCF_001633165.1	A6W98_RS11630	PF09344.10	CT1975-like protein	328.0	3.2e-100
GCF_001633165.1	A6W98_RS11620	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	229.0	4.1e-70
GCF_001634325.1	WM43_RS12655	PF13280.6	WYL domain	60.1	9e-19
GCF_001636015.1	MOVS_RS00230	PF01867.16	CRISPR associated protein Cas1	194.4	7.5e-60
GCF_001636015.1	MOVS_RS00220	PF18510.1	Nuclease domain	184.4	6.8e-57
GCF_001636015.1	MOVS_RS04360	PF09704.10	CRISPR-associated protein (Cas_Cas5)	164.5	1.1e-50
GCF_001636015.1	MOVS_RS04365	PF09709.10	CRISPR-associated protein (Cas_Csd1)	456.8	3.7e-139
GCF_001636015.1	MOVS_RS04370	PF05107.12	CRISPR-associated protein Cas7	254.1	4.9e-78
GCF_001636015.1	MOVS_RS04380	PF01867.16	CRISPR associated protein Cas1	322.9	5.1e-99
GCF_001636015.1	MOVS_RS04385	PF09827.9	CRISPR associated protein Cas2	85.6	6.5e-27
GCF_001636015.1	MOVS_RS00220	PF18516.1	RuvC nuclease domain	320.7	1.6e-98
GCF_001636015.1	MOVS_RS04375	PF01930.17	Domain of unknown function DUF83	128.2	1e-39
GCF_001636095.1	WT52_RS03075	PF13280.6	WYL domain	69.3	1.4e-21
GCF_001636095.1	WT52_RS26540	PF13280.6	WYL domain	115.0	1.2e-35
GCF_001636295.1	I598_RS03265	PF13280.6	WYL domain	102.2	1.1e-31
GCF_001636295.1	I598_RS03270	PF13280.6	WYL domain	102.6	8.1e-32
GCF_001638825.1	A2G07_RS00110	PF13280.6	WYL domain	115.5	8.7e-36
GCF_001639105.2	A6A40_RS19765	PF09704.10	CRISPR-associated protein (Cas_Cas5)	146.5	3.5e-45
GCF_001639105.2	A6A40_RS03695	PF01867.16	CRISPR associated protein Cas1	92.5	8.2e-29
GCF_001639105.2	A6A40_RS01040	PF13280.6	WYL domain	69.5	1.2e-21
GCF_001639105.2	A6A40_RS19770	PF09709.10	CRISPR-associated protein (Cas_Csd1)	542.4	4.5e-165
GCF_001639105.2	A6A40_RS03700	PF09827.9	CRISPR associated protein Cas2	64.1	3.5e-20
GCF_001639105.2	A6A40_RS19775	PF05107.12	CRISPR-associated protein Cas7	357.0	1.9e-109
GCF_001639105.2	A6A40_RS19790	PF09827.9	CRISPR associated protein Cas2	82.0	8.5e-26
GCF_001639105.2	A6A40_RS19785	PF01867.16	CRISPR associated protein Cas1	346.5	3.2e-106
GCF_001639105.2	A6A40_RS19780	PF01930.17	Domain of unknown function DUF83	117.6	1.9e-36
GCF_001639125.1	A6K30_RS00925	PF13280.6	WYL domain	73.9	5.3e-23
GCF_001640865.1	ABI39_RS01935	PF05107.12	CRISPR-associated protein Cas7	361.3	9.1e-111
GCF_001640865.1	ABI39_RS01945	PF09704.10	CRISPR-associated protein (Cas_Cas5)	91.7	2e-28
GCF_001640865.1	ABI39_RS01930	PF01930.17	Domain of unknown function DUF83	107.6	2.2e-33
GCF_001640865.1	ABI39_RS01925	PF01867.16	CRISPR associated protein Cas1	332.9	4.5e-102
GCF_001640865.1	ABI39_RS01920	PF09827.9	CRISPR associated protein Cas2	82.0	8.6e-26
GCF_001640865.1	ABI39_RS01805	PF13280.6	WYL domain	116.7	3.8e-36
GCF_001640865.1	ABI39_RS01940	PF09709.10	CRISPR-associated protein (Cas_Csd1)	492.7	4.9e-150
GCF_001641005.1	A6122_RS06785	PF13280.6	WYL domain	91.4	2.2e-28
GCF_001641185.1	AX766_RS04045	PF09827.9	CRISPR associated protein Cas2	70.0	4.9e-22
GCF_001641185.1	AX766_RS04040	PF01867.16	CRISPR associated protein Cas1	93.0	6e-29
GCF_001641185.1	AX766_RS03565	PF13280.6	WYL domain	81.9	1.8e-25
GCF_001641285.1	ATSB10_RS14425	PF13280.6	WYL domain	66.9	7.3e-21
GCF_001641285.1	ATSB10_RS13980	PF13280.6	WYL domain	140.8	1.5e-43
GCF_001641305.1	A6P53_RS11595	PF09711.10	CRISPR-associated protein (Cas_Csn2)	217.2	4.4e-67
GCF_001641305.1	A6P53_RS11610	PF16592.5	REC lobe of CRISPR-associated endonuclease Cas9	685.9	1.3e-208
GCF_001641305.1	A6P53_RS11610	PF16595.5	PAM-interacting domain of CRISPR-associated endonuclease Cas9	169.4	4.7e-52
GCF_001641305.1	A6P53_RS11605	PF01867.16	CRISPR associated protein Cas1	96.3	5.9e-30
GCF_001642085.1	A0O21_RS03880	PF13280.6	WYL domain	77.9	3.1e-24
GCF_001642085.1	A0O21_RS05655	PF09704.10	CRISPR-associated protein (Cas_Cas5)	138.4	1e-42
GCF_001642085.1	A0O21_RS05595	PF01867.16	CRISPR associated protein Cas1	85.6	1.1e-26
GCF_001642085.1	A0O21_RS05590	PF09827.9	CRISPR associated protein Cas2	60.8	3.7e-19
GCF_001642085.1	A0O21_RS05585	PF09711.10	CRISPR-associated protein (Cas_Csn2)	226.6	5.8e-70
GCF_001642085.1	A0O21_RS05660	PF09344.10	CT1975-like protein	400.9	2.3e-122
GCF_001642085.1	A0O21_RS05665	PF09485.10	CRISPR-associated protein Cse2 (CRISPR_cse2)	111.7	1.4e-34
GCF_001642085.1	A0O21_RS05640	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	96.8	2e-30
GCF_001642085.1	A0O21_RS05670	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	312.5	2e-95
GCF_001642085.1	A0O21_RS05600	PF16595.5	PAM-interacting domain of CRISPR-associated endonuclease Cas9	154.3	1.8e-47
GCF_001642085.1	A0O21_RS05600	PF16592.5	REC lobe of CRISPR-associated endonuclease Cas9	684.7	3.1e-208
GCF_001642085.1	A0O21_RS05650	PF08798.11	CRISPR associated protein	194.3	1e-59
GCF_001642085.1	A0O21_RS05675	PF18395.1	Cas3 C-terminal domain	96.5	4.2e-30
GCF_001642655.1	CTK_RS12235	PF05107.12	CRISPR-associated protein Cas7	153.7	2.2e-47
GCF_001642655.1	CTK_RS12220	PF01930.17	Domain of unknown function DUF83	161.0	8.2e-50
GCF_001642655.1	CTK_RS12210	PF09827.9	CRISPR associated protein Cas2	68.0	2e-21
GCF_001642655.1	CTK_RS07990	PF13280.6	WYL domain	108.4	1.3e-33
GCF_001642675.1	AAV28_RS36350	PF13280.6	WYL domain	123.4	3.3e-38
GCF_001642935.1	ABE41_RS15145	PF13280.6	WYL domain	100.4	3.9e-31
GCF_001642935.1	ABE41_RS05570	PF13280.6	WYL domain	138.1	9.7e-43
GCF_001643015.1	ccrud_RS07245	PF13280.6	WYL domain	90.0	5.9e-28
GCF_001643015.1	ccrud_RS07250	PF13280.6	WYL domain	79.7	8.8e-25
GCF_001643775.1	AAY81_RS09070	PF13280.6	WYL domain	126.7	3.2e-39
GCF_001643955.1	CHH_RS01685	PF01867.16	CRISPR associated protein Cas1	84.1	3.1e-26
GCF_001643955.1	CHH_RS05905	PF01930.17	Domain of unknown function DUF83	106.4	5.1e-33
GCF_001643955.1	CHH_RS05900	PF09827.9	CRISPR associated protein Cas2	68.3	1.6e-21
GCF_001643955.1	CHH_RS05925	PF09484.10	CRISPR-associated protein TM1802 (cas_TM1802)	71.6	1.9e-22
GCF_001643955.1	CHH_RS05920	PF05107.12	CRISPR-associated protein Cas7	189.2	3.1e-58
GCF_001643955.1	CHH_RS05895	PF01867.16	CRISPR associated protein Cas1	231.4	3.9e-71
GCF_001643975.1	CHL_RS05845	PF13280.6	WYL domain	99.0	1e-30
GCF_001644605.1	SY83_RS07315	PF13280.6	WYL domain	115.7	7.5e-36
GCF_001644605.1	SY83_RS02575	PF13280.6	WYL domain	126.4	3.8e-39
GCF_001644605.1	SY83_RS01650	PF13280.6	WYL domain	99.4	7.7e-31
GCF_001644605.1	SY83_RS09300	PF13280.6	WYL domain	91.3	2.4e-28
GCF_001644605.1	SY83_RS01775	PF13280.6	WYL domain	136.8	2.5e-42
GCF_001644645.1	SY85_RS12890	PF13280.6	WYL domain	73.8	5.8e-23
GCF_001644665.1	JM64_RS00770	PF03787.15	RAMP superfamily	74.5	4e-23
GCF_001644665.1	JM64_RS00775	PF09700.10	CRISPR-associated protein (Cas_Cmr3)	137.9	1.9e-42
GCF_001644665.1	JM64_RS00800	PF09455.10	CRISPR-associated (Cas) DxTHG family	130.1	4.8e-40
GCF_001644665.1	JM64_RS00835	PF01881.16	CRISPR associated protein Cas6	124.9	1.3e-38
GCF_001644665.1	JM64_RS00850	PF17953.1	CRISPR Csm4 C-terminal domain	69.0	8e-22
GCF_001644665.1	JM64_RS00855	PF03787.15	RAMP superfamily	70.9	5e-22
GCF_001644665.1	JM64_RS00865	PF18211.1	Csm1 subunit domain B	91.5	7.8e-29
GCF_001644665.1	JM64_RS00870	PF01867.16	CRISPR associated protein Cas1	294.8	1.8e-90
GCF_001644665.1	JM64_RS00780	PF12469.8	CRISPR-associated protein	108.2	8.5e-34
GCF_001644665.1	JM64_RS00860	PF03750.13	Csm2 Type III-A	87.9	2.7e-27
GCF_001644705.1	A4U42_RS10965	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	253.2	1.8e-77
GCF_001646605.1	AZ909_RS19445	PF01930.17	Domain of unknown function DUF83	154.1	1.1e-47
GCF_001646605.1	AZ909_RS19460	PF05107.12	CRISPR-associated protein Cas7	160.6	1.7e-49
GCF_001646605.1	AZ909_RS15675	PF13280.6	WYL domain	108.4	1.3e-33
GCF_001646605.1	AZ909_RS19440	PF01867.16	CRISPR associated protein Cas1	291.6	1.8e-89
GCF_001646605.1	AZ909_RS19435	PF09827.9	CRISPR associated protein Cas2	66.5	5.9e-21
GCF_001647635.1	A0130_RS14500	PF13280.6	WYL domain	89.2	1.1e-27
GCF_001647635.1	A0130_RS09660	PF13280.6	WYL domain	65.5	2.1e-20
GCF_001647635.1	A0130_RS02090	PF13280.6	WYL domain	109.5	6.1e-34
GCF_001647635.1	A0130_RS02085	PF13280.6	WYL domain	92.3	1.2e-28
GCF_001647635.1	A0130_RS02040	PF13280.6	WYL domain	91.9	1.5e-28
GCF_001648155.1	A0O34_RS08350	PF13280.6	WYL domain	104.8	1.7e-32
GCF_001648155.1	A0O34_RS02680	PF13280.6	WYL domain	78.4	2.2e-24
GCF_001648155.1	A0O34_RS14215	PF13280.6	WYL domain	81.3	2.9e-25
GCF_001648175.1	A5892_RS01375	PF09709.10	CRISPR-associated protein (Cas_Csd1)	530.9	1.4e-161
GCF_001648175.1	A5892_RS01365	PF01930.17	Domain of unknown function DUF83	118.9	7.8e-37
GCF_001648175.1	A5892_RS19695	PF01867.16	CRISPR associated protein Cas1	352.9	3.5e-108
GCF_001648175.1	A5892_RS01370	PF05107.12	CRISPR-associated protein Cas7	377.1	1.4e-115
GCF_001648175.1	A5892_RS01355	PF09827.9	CRISPR associated protein Cas2	76.5	4.6e-24
GCF_001648175.1	A5892_RS01270	PF09611.10	CRISPR-associated protein (Cas_Csy1)	440.1	2.2e-134
GCF_001648175.1	A5892_RS01265	PF09614.10	CRISPR-associated protein (Cas_Csy2)	354.4	1.7e-108
GCF_001648175.1	A5892_RS01380	PF09704.10	CRISPR-associated protein (Cas_Cas5)	148.3	9.4e-46
GCF_001648175.1	A5892_RS01260	PF09615.10	CRISPR-associated protein (Cas_Csy3)	494.3	5.8e-151
GCF_001648175.1	A5892_RS01255	PF09618.10	CRISPR-associated protein (Cas_Csy4)	202.7	1.8e-62
